longlat,lat,neighbourhoodgroup,neighbourhood,roomtype,price,minimumnights,numberofreviews,lastreview,reviewspermonth,calculatedhostlistingscount,availability365,numcalls,zip,ASSAULT3&RELATEDOFFENSES,BURGLARY,CRIMINALMISCHIEF&RELATEDOF,CRIMINALTRESPASS,DANGEROUSDRUGS,DANGEROUSWEAPONS,FELONYASSAULT,FORGERY,FRAUDS,GRANDLARCENY,GRANDLARCENYOFMOTORVEHICLE,HARRASSMENT2,INTOXICATED&IMPAIREDDRIVING,MISCELLANEOUSPENALLAW,OFFAGNSTPUBORDSENSBLTY,OFFENSESAGAINSTPUBLICADMINI,OFFENSESAGAINSTTHEPERSON,OFFENSESINVOLVINGFRAUD,OTHEROFFENSESRELATEDTOTHEF,PETITLARCENY,POSSESSIONOFSTOLENPROPERTY,ROBBERY,THEFTFRAUD,UNAUTHORIZEDUSEOFAVEHICLE,VEHICLEANDTRAFFICLAWS,0,0,0,0,0,0,0
40.664-73.99,40.664,Brooklyn,South Slope,Entire home/apt,254,2,8,2019,0.23,3,365,4,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.664-73.99,40.664,Brooklyn,South Slope,Entire home/apt,77,3,4,2018,0.14,1,0,4,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.664-73.99,40.664,Brooklyn,South Slope,Entire home/apt,145,4,1,2019,1,1,12,5,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.665-73.735,40.665,Queens,Rosedale,Private room,62,1,144,2019,6.21,3,0,39,11234,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0
40.666-73.989,40.666,Brooklyn,South Slope,Entire home/apt,360,4,5,2016,0.12,1,0,3,11234,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
40.666-73.989,40.666,Brooklyn,South Slope,Private room,50,7,0,2019,0,1,0,3,11234,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
40.666-73.989,40.666,Brooklyn,South Slope,Private room,80,1,0,2019,0,1,0,3,11234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
40.666-73.989,40.666,Brooklyn,South Slope,Private room,90,2,15,2019,2.34,1,91,2,11234,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
40.667-73.995,40.667,Brooklyn,Gowanus,Private room,53,1,0,2019,0,3,317,10,11234,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40.668-73.951,40.668,Brooklyn,Crown Heights,Private room,64,5,7,2016,0.18,2,0,73,11234,3,0,1,0,0,1,0,0,0,2,1,2,1,1,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0
